word		translation	chapter
portion		Portion	Open World (2015) - Unit 3 - 03 A healthy lifestyle
recommendation		Empfehlung	Open World (2015) - Unit 3 - 03 A healthy lifestyle
smoke		rauchen	Open World (2015) - Unit 3 - 03 A healthy lifestyle
snack		Snack, Imbiss	Open World (2015) - Unit 3 - 03 A healthy lifestyle
sugar		Zucker	Open World (2015) - Unit 3 - 03 A healthy lifestyle
tip		Tipp	Open World (2015) - Unit 3 - 03 A healthy lifestyle
truth		Wahrheit	Open World (2015) - Unit 3 - 03 A healthy lifestyle
vitamin		Vitamin	Open World (2015) - Unit 3 - 03 A healthy lifestyle
addictive		süchtig machend	Open World (2015) - Unit 3 - 04 Junk food
additive		Zusatz(stoff)	Open World (2015) - Unit 3 - 04 Junk food
appetite		Appetit	Open World (2015) - Unit 3 - 04 Junk food
can't stand		nicht ertragen können	Open World (2015) - Unit 3 - 04 Junk food
Coke		Coca-Cola	Open World (2015) - Unit 3 - 04 Junk food
consume		konsumieren, verzehren	Open World (2015) - Unit 3 - 04 Junk food
disliking		Abneigung	Open World (2015) - Unit 3 - 04 Junk food
everywhere		überall	Open World (2015) - Unit 3 - 04 Junk food
extremely		äusserst	Open World (2015) - Unit 3 - 04 Junk food
familiar		vertraut	Open World (2015) - Unit 3 - 04 Junk food
fat		Fett	Open World (2015) - Unit 3 - 04 Junk food
fizzy drink		Kohlensäurehaltiges Süssgetränk	Open World (2015) - Unit 3 - 04 Junk food
flavour		Geschmack	Open World (2015) - Unit 3 - 04 Junk food
freshly made		frisch zubereitet	Open World (2015) - Unit 3 - 04 Junk food
from time to time		ab und zu	Open World (2015) - Unit 3 - 04 Junk food
hate		hassen	Open World (2015) - Unit 3 - 04 Junk food
hide		verstecken	Open World (2015) - Unit 3 - 04 Junk food
industry		Industrie, Branche	Open World (2015) - Unit 3 - 04 Junk food
intensify		intensivieren, verstärken	Open World (2015) - Unit 3 - 04 Junk food
last (for)		dauern	Open World (2015) - Unit 3 - 04 Junk food
poor quality		minderwertig	Open World (2015) - Unit 3 - 04 Junk food
rubbish		Abfall, Kehricht	Open World (2015) - Unit 3 - 04 Junk food
taste		Geschmack	Open World (2015) - Unit 3 - 04 Junk food
tasty		schmackhaft	Open World (2015) - Unit 3 - 04 Junk food
unfortunately		unglücklicherweise	Open World (2015) - Unit 3 - 04 Junk food
unhealthy		ungesund	Open World (2015) - Unit 3 - 04 Junk food
unsure		unsicher	Open World (2015) - Unit 3 - 04 Junk food
vegetarian		Vegetarier/-in	Open World (2015) - Unit 3 - 04 Junk food
bestselling books (pl)		Erfolgsbücher, Bestseller	Open World (2015) - Unit 3 - 05 Healthy eating at school
British		britisch	Open World (2015) - Unit 3 - 05 Healthy eating at school
broccoli		Broccoli	Open World (2015) - Unit 3 - 05 Healthy eating at school
carrot		Rüebli, Karotte	Open World (2015) - Unit 3 - 05 Healthy eating at school
concentrate		sich konzentrieren	Open World (2015) - Unit 3 - 05 Healthy eating at school
concentration		Konzentration	Open World (2015) - Unit 3 - 05 Healthy eating at school
cook		Koch	Open World (2015) - Unit 3 - 05 Healthy eating at school
crisps (pl)		Pommes-Chips	Open World (2015) - Unit 3 - 05 Healthy eating at school
egg		Ei	Open World (2015) - Unit 3 - 05 Healthy eating at school
ice-cream		Glace, Eiscreme	Open World (2015) - Unit 3 - 05 Healthy eating at school
kitchen		Küche	Open World (2015) - Unit 3 - 05 Healthy eating at school
lettuce		Blattsalat	Open World (2015) - Unit 3 - 05 Healthy eating at school
menu		Speisekarte, Menü	Open World (2015) - Unit 3 - 05 Healthy eating at school
newscast		Nachrichtensendung	Open World (2015) - Unit 3 - 05 Healthy eating at school
oily fish		fettreicher Fisch	Open World (2015) - Unit 3 - 05 Healthy eating at school
peach		Pfirsich	Open World (2015) - Unit 3 - 05 Healthy eating at school
potato		Kartoffel	Open World (2015) - Unit 3 - 05 Healthy eating at school
quality meat		hochwertiges Fleisch	Open World (2015) - Unit 3 - 05 Healthy eating at school
strawberry		Erdbeere	Open World (2015) - Unit 3 - 05 Healthy eating at school
wavy line		Wellenlinie	Open World (2015) - Unit 3 - 05 Healthy eating at school
aloud		laut	Open World (2015) - Unit 3 - 06 What do you eat?
anywhere		irgendwo	Open World (2015) - Unit 3 - 06 What do you eat?
boiling water		kochendes Wasser	Open World (2015) - Unit 3 - 06 What do you eat?
combination		Kombination	Open World (2015) - Unit 3 - 06 What do you eat?
cream		Rahm	Open World (2015) - Unit 3 - 06 What do you eat?
dish		Schale, Schüssel	Open World (2015) - Unit 3 - 06 What do you eat?
except (for)		ausser, bis auf	Open World (2015) - Unit 3 - 06 What do you eat?
fry		braten	Open World (2015) - Unit 3 - 06 What do you eat?
frying pan		Bratpfanne	Open World (2015) - Unit 3 - 06 What do you eat?
gel		Gel	Open World (2015) - Unit 3 - 06 What do you eat?
habit		Gewohnheit	Open World (2015) - Unit 3 - 06 What do you eat?
herbs (pl)		Kräuter	Open World (2015) - Unit 3 - 06 What do you eat?
leek		Lauch	Open World (2015) - Unit 3 - 06 What do you eat?
liquid		flüssig	Open World (2015) - Unit 3 - 06 What do you eat?
long-distance race		Langstreckenrennen	Open World (2015) - Unit 3 - 06 What do you eat?
meanwhile		unterdessen	Open World (2015) - Unit 3 - 06 What do you eat?
mix		mischen	Open World (2015) - Unit 3 - 06 What do you eat?
onion		Zwiebel	Open World (2015) - Unit 3 - 06 What do you eat?
pasta		Nudeln, Teigwaren	Open World (2015) - Unit 3 - 06 What do you eat?
pepper		Pfeffer	Open World (2015) - Unit 3 - 06 What do you eat?
preparation		Vorbereitung	Open World (2015) - Unit 3 - 06 What do you eat?
prescription		ärztliches Rezept, Verschreibung	Open World (2015) - Unit 3 - 06 What do you eat?
rich		reich	Open World (2015) - Unit 3 - 06 What do you eat?
salt		Salz	Open World (2015) - Unit 3 - 06 What do you eat?
sprinkle		streuen, bestreuen	Open World (2015) - Unit 3 - 06 What do you eat?
sweat		schwitzen	Open World (2015) - Unit 3 - 06 What do you eat?
take part (in)		teilnehmen (an)	Open World (2015) - Unit 3 - 06 What do you eat?
take turns		sich abwechseln	Open World (2015) - Unit 3 - 06 What do you eat?
trick		hierː Streich	Open World (2015) - Unit 3 - 06 What do you eat?
bake		backen	Open World (2015) - Unit 3 - 07 Heat the oven
baking powder		Backpulver	Open World (2015) - Unit 3 - 07 Heat the oven
baking tin		Backform	Open World (2015) - Unit 3 - 07 Heat the oven
blog		Blog	Open World (2015) - Unit 3 - 07 Heat the oven
bowl		Schale	Open World (2015) - Unit 3 - 07 Heat the oven
butter		Butter	Open World (2015) - Unit 3 - 07 Heat the oven
cake		Kuchen	Open World (2015) - Unit 3 - 07 Heat the oven
core		entkernen	Open World (2015) - Unit 3 - 07 Heat the oven
dessert		Dessert	Open World (2015) - Unit 3 - 07 Heat the oven
extract		Auszug	Open World (2015) - Unit 3 - 07 Heat the oven
fabulous		fabelhaft, toll	Open World (2015) - Unit 3 - 07 Heat the oven
flour		Mehl	Open World (2015) - Unit 3 - 07 Heat the oven
gas		Gas	Open World (2015) - Unit 3 - 07 Heat the oven
German		Deutsch	Open World (2015) - Unit 3 - 07 Heat the oven
golden		golden	Open World (2015) - Unit 3 - 07 Heat the oven
ingredients (pl)		Zutaten	Open World (2015) - Unit 3 - 07 Heat the oven
juice		Saft	Open World (2015) - Unit 3 - 07 Heat the oven
layer		Schicht	Open World (2015) - Unit 3 - 07 Heat the oven
lemon		Zitrone	Open World (2015) - Unit 3 - 07 Heat the oven
mixture		Mischung	Open World (2015) - Unit 3 - 07 Heat the oven
oven		Ofen	Open World (2015) - Unit 3 - 07 Heat the oven
peel		hierː schälen	Open World (2015) - Unit 3 - 07 Heat the oven
proceed		vorgehen	Open World (2015) - Unit 3 - 07 Heat the oven
rectangular		rechtwinklig	Open World (2015) - Unit 3 - 07 Heat the oven
repeat		wiederholen	Open World (2015) - Unit 3 - 07 Heat the oven
slice		in Scheiben schneiden	Open World (2015) - Unit 3 - 07 Heat the oven
smooth		glatt	Open World (2015) - Unit 3 - 07 Heat the oven
soften		weich werden, schmelzen	Open World (2015) - Unit 3 - 07 Heat the oven
softened		weich geworden, geschmolzen	Open World (2015) - Unit 3 - 07 Heat the oven
soggy		matschig, pampig	Open World (2015) - Unit 3 - 07 Heat the oven
Southwest		Südwesten	Open World (2015) - Unit 3 - 07 Heat the oven
spread		hierː streichen	Open World (2015) - Unit 3 - 07 Heat the oven
springy		federnd, elastisch	Open World (2015) - Unit 3 - 07 Heat the oven
squeeze		drücken	Open World (2015) - Unit 3 - 07 Heat the oven
stodgy		schwer (verdaulich), pampig	Open World (2015) - Unit 3 - 07 Heat the oven
substance		Substanz, Stoff	Open World (2015) - Unit 3 - 07 Heat the oven
Swiss German		Schweizerdeutsch	Open World (2015) - Unit 3 - 07 Heat the oven
thinly		dünn	Open World (2015) - Unit 3 - 07 Heat the oven
translation		Übersetzung	Open World (2015) - Unit 3 - 07 Heat the oven
traybake		dünner Blechkuchen	Open World (2015) - Unit 3 - 07 Heat the oven
vanilla		Vanille	Open World (2015) - Unit 3 - 07 Heat the oven
a drop of milk		ein wenig Milch	Open World (2015) - Unit 3 - 08 Only the best ingredients
a week		pro Woche	Open World (2015) - Unit 3 - 08 Only the best ingredients
abstract		abstrakt	Open World (2015) - Unit 3 - 08 Only the best ingredients
bread		Brot	Open World (2015) - Unit 3 - 08 Only the best ingredients
countable		zählbar	Open World (2015) - Unit 3 - 08 Only the best ingredients
for breakfast		zum Frühstück	Open World (2015) - Unit 3 - 08 Only the best ingredients
for dinner		zum Abendessen	Open World (2015) - Unit 3 - 08 Only the best ingredients
for lunch		zum Mittagessen	Open World (2015) - Unit 3 - 08 Only the best ingredients
how many		wie viele	Open World (2015) - Unit 3 - 08 Only the best ingredients
how much		wie viel	Open World (2015) - Unit 3 - 08 Only the best ingredients
litre		Liter	Open World (2015) - Unit 3 - 08 Only the best ingredients
powdery		pulverförmig	Open World (2015) - Unit 3 - 08 Only the best ingredients
sandwich		Sandwich	Open World (2015) - Unit 3 - 08 Only the best ingredients
teaspoon		Teelöffel	Open World (2015) - Unit 3 - 08 Only the best ingredients
uncountable		unzählbar	Open World (2015) - Unit 3 - 08 Only the best ingredients
afterwards		danach	Open World (2015) - Unit 3 - 09 Sport for everyone!
Australia		Australien	Open World (2015) - Unit 3 - 09 Sport for everyone!
bend		beugen	Open World (2015) - Unit 3 - 09 Sport for everyone!
cheerleading		Cheerleading	Open World (2015) - Unit 3 - 09 Sport for everyone!
coordination		Koordination	Open World (2015) - Unit 3 - 09 Sport for everyone!
cricket		Cricket	Open World (2015) - Unit 3 - 09 Sport for everyone!
dislike		nicht mögen	Open World (2015) - Unit 3 - 09 Sport for everyone!
downhill ski race		Abfahrtsskirennen	Open World (2015) - Unit 3 - 09 Sport for everyone!
Great Britain		Grossbritannien	Open World (2015) - Unit 3 - 09 Sport for everyone!
India		Indien	Open World (2015) - Unit 3 - 09 Sport for everyone!
instruction		Anweisung	Open World (2015) - Unit 3 - 09 Sport for everyone!
instructor		Lehrer/-in	Open World (2015) - Unit 3 - 09 Sport for everyone!
knee		Knie	Open World (2015) - Unit 3 - 09 Sport for everyone!
muscle		Muskel	Open World (2015) - Unit 3 - 09 Sport for everyone!
oral		mündlich	Open World (2015) - Unit 3 - 09 Sport for everyone!
pleased		froh, erfreut, zufrieden	Open World (2015) - Unit 3 - 09 Sport for everyone!
shocking		schockierend	Open World (2015) - Unit 3 - 09 Sport for everyone!
speak freely		frei sprechen	Open World (2015) - Unit 3 - 09 Sport for everyone!
step by step		Schritt um Schritt	Open World (2015) - Unit 3 - 09 Sport for everyone!
stretch		strecken	Open World (2015) - Unit 3 - 09 Sport for everyone!
terrible		schrecklich	Open World (2015) - Unit 3 - 09 Sport for everyone!
tick		Häkchen, Kontrollzeichen	Open World (2015) - Unit 3 - 09 Sport for everyone!
toe		Zeh	Open World (2015) - Unit 3 - 09 Sport for everyone!
Antarctic Circle		südlicher Polarkreis	Open World (2015) - Unit 4 - 01 Keywords
Antarctica		Antarktis	Open World (2015) - Unit 4 - 01 Keywords
captain		Kapitän/-in	Open World (2015) - Unit 4 - 01 Keywords
climate		Klima	Open World (2015) - Unit 4 - 01 Keywords
continent		Kontinent	Open World (2015) - Unit 4 - 01 Keywords
exotic		exotisch, fremdländisch	Open World (2015) - Unit 4 - 01 Keywords
expedition		Expedition, Forschungsreise	Open World (2015) - Unit 4 - 01 Keywords
native		Einheimische/-r	Open World (2015) - Unit 4 - 01 Keywords
ozone layer		Ozonschicht	Open World (2015) - Unit 4 - 01 Keywords
sailor		Matrose, Matrosin, Seeman	Open World (2015) - Unit 4 - 01 Keywords
amazing		erstaunlich, toll	Open World (2015) - Unit 4 - 02 Exploring the South Seas
artist		Künstler/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
background		Hintergrund	Open World (2015) - Unit 4 - 02 Exploring the South Seas
bay		Bucht	Open World (2015) - Unit 4 - 02 Exploring the South Seas
bird		Vogel	Open World (2015) - Unit 4 - 02 Exploring the South Seas
Britain		(Gross-)Britannien	Open World (2015) - Unit 4 - 02 Exploring the South Seas
canoe		Kanu	Open World (2015) - Unit 4 - 02 Exploring the South Seas
carefully		sorgfältig, aufmerksam	Open World (2015) - Unit 4 - 02 Exploring the South Seas
cheek		Wange, Backe	Open World (2015) - Unit 4 - 02 Exploring the South Seas
coin		Münze	Open World (2015) - Unit 4 - 02 Exploring the South Seas
colonise		kolonialisieren, (be-)siedeln	Open World (2015) - Unit 4 - 02 Exploring the South Seas
consonant		Konsonant	Open World (2015) - Unit 4 - 02 Exploring the South Seas
crew		Crew, Besatzung	Open World (2015) - Unit 4 - 02 Exploring the South Seas
distance		Entfernung, Distanz	Open World (2015) - Unit 4 - 02 Exploring the South Seas
empty		leer	Open World (2015) - Unit 4 - 02 Exploring the South Seas
Europe		Europa	Open World (2015) - Unit 4 - 02 Exploring the South Seas
European		europäisch	Open World (2015) - Unit 4 - 02 Exploring the South Seas
explore		erforschen, untersuchen	Open World (2015) - Unit 4 - 02 Exploring the South Seas
explorer		Forscher/-in, Entdecker/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
farm worker		Landarbeiter/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
fishing net		Fischernetz	Open World (2015) - Unit 4 - 02 Exploring the South Seas
flirt		flirten	Open World (2015) - Unit 4 - 02 Exploring the South Seas
funny		komisch, merkwürdig	Open World (2015) - Unit 4 - 02 Exploring the South Seas
glass		Glas	Open World (2015) - Unit 4 - 02 Exploring the South Seas
He is a native Swiss.		Er stammt aus der Schweiz.	Open World (2015) - Unit 4 - 02 Exploring the South Seas
hut		Hütte	Open World (2015) - Unit 4 - 02 Exploring the South Seas
Latin		lateinisch, Latein-	Open World (2015) - Unit 4 - 02 Exploring the South Seas
leaf		Blatt	Open World (2015) - Unit 4 - 02 Exploring the South Seas
map maker		Kartenzeichner/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
mathematics		Mathematik	Open World (2015) - Unit 4 - 02 Exploring the South Seas
mirror		Spiegel	Open World (2015) - Unit 4 - 02 Exploring the South Seas
nationality		Nationalität, Staatsangehörigkeit	Open World (2015) - Unit 4 - 02 Exploring the South Seas
New Zealand		Neuseeland	Open World (2015) - Unit 4 - 02 Exploring the South Seas
nose		Nase	Open World (2015) - Unit 4 - 02 Exploring the South Seas
painter		(Kunst-)Maler/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
peaceful		friedlich	Open World (2015) - Unit 4 - 02 Exploring the South Seas
pencil		Bleistift	Open World (2015) - Unit 4 - 02 Exploring the South Seas
pleasant		angenehm	Open World (2015) - Unit 4 - 02 Exploring the South Seas
Polynesia		Polynesien	Open World (2015) - Unit 4 - 02 Exploring the South Seas
profile		Profil	Open World (2015) - Unit 4 - 02 Exploring the South Seas
pronounce		aussprechen	Open World (2015) - Unit 4 - 02 Exploring the South Seas
pronunciation		Aussprache	Open World (2015) - Unit 4 - 02 Exploring the South Seas
publish		veröffentlichen	Open World (2015) - Unit 4 - 02 Exploring the South Seas
react		reagieren	Open World (2015) - Unit 4 - 02 Exploring the South Seas
route		Route, Strecke	Open World (2015) - Unit 4 - 02 Exploring the South Seas
ruler		Lineal	Open World (2015) - Unit 4 - 02 Exploring the South Seas
sea captain		(Schiffs-)Kapitän/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
She is a native of Austria.		Sie stammt aus Österreich.	Open World (2015) - Unit 4 - 02 Exploring the South Seas
ship		Schiff	Open World (2015) - Unit 4 - 02 Exploring the South Seas
shout		schreien, rufen	Open World (2015) - Unit 4 - 02 Exploring the South Seas
silver		silbern	Open World (2015) - Unit 4 - 02 Exploring the South Seas
stressed		gestresst	Open World (2015) - Unit 4 - 02 Exploring the South Seas
talented		talentiert, begabt	Open World (2015) - Unit 4 - 02 Exploring the South Seas
the South Seas (pl)		Südsee	Open World (2015) - Unit 4 - 02 Exploring the South Seas
tool		Werkzeug	Open World (2015) - Unit 4 - 02 Exploring the South Seas
translate		übersetzen	Open World (2015) - Unit 4 - 02 Exploring the South Seas
traveller		Reisende/-r	Open World (2015) - Unit 4 - 02 Exploring the South Seas
vowel		Vokal	Open World (2015) - Unit 4 - 02 Exploring the South Seas
wave		winken	Open World (2015) - Unit 4 - 02 Exploring the South Seas
We are native speakers of Italian.		Wir sind italienische Muttersprachler.	Open World (2015) - Unit 4 - 02 Exploring the South Seas
weapon		Waffe	Open World (2015) - Unit 4 - 02 Exploring the South Seas
wordlist		Wortliste	Open World (2015) - Unit 4 - 02 Exploring the South Seas
writer		Schriftsteller/-in, Autor/-in	Open World (2015) - Unit 4 - 02 Exploring the South Seas
a couple of		einige, ein paar	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
adventure		Abenteuer, Erlebnis	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
Africa		Afrika	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
be part of		Teil sein von, gehören zu	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
block		blockieren, sperren	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
camera		Kamera, Fotoapparat	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
careful		vorsichtig, sorgfältig	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
chick		Küken, Vogeljunges	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
climate change		Klimaveränderung	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
custom		Brauch, Sitte	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
cute		herzig, niedlich	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
daylight		Tageslicht	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
diagonally		diagonal	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
differ		sich unterscheiden	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
emperor penguin colony		Kaiserpinguinkolonie	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
excitement		Aufregung	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
exploration		Erforschung	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
flag		Flagge	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
forbidden		verboten, nicht zulässig	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
freeze		hierː gefrieren	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
get stuck		stecken bleiben	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
global		global, weltweit	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
grateful		dankbar	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
hole		Loch	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
ice		Eis	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
impressive		beeindruckend	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
in the middle of nowhere		am Ende der Welt	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
insert		einfügen	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
kiteboarding		Kiteboarden	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
kiting		Kiteboarden	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
launch		hier: steigen lassen	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
map		(Land-)Karte	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
meteorologist		Meteorologe, Meteorologin	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
navigation		Navigation	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
night mode		Nachtmodus	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
Norway		Norwegen	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
observe		beobachten	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
officially		offiziell	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
ongoing		laufend, im Gang	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
peacefulness		Friedlichkeit	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
proud		stolz	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
referee		Schiedsrichter/-in	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
research station		Forschungsstation	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
row		Reihe	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
sample		Probe, Muster	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
shorten		kürzen	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
since 8 o'clock		seit 8 Uhr	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
snowboarding		Snowboarden	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
South Pole		Südpol	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
spend holidays		Ferien verbringen	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
thermometer		Thermometer	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
timeline		Zeitachse	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
tourism		Tourismus	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
trend		Trend	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
voyage		Seereise	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
weather balloon		Wetterballon	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
weather forecasting		Erstellung von Wetterprognosen	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
wind		Wind	Open World (2015) - Unit 4 - 03 Tamsin Gray - modern-day explorer
blizzard		Schneesturm, Blizzard	Open World (2015) - Unit 5 - 01 Keywords
blow		hierː blasen	Open World (2015) - Unit 5 - 01 Keywords
calm		ruhig	Open World (2015) - Unit 5 - 01 Keywords
cloud		Wolke	Open World (2015) - Unit 5 - 01 Keywords
hurricane		Hurrikan	Open World (2015) - Unit 5 - 01 Keywords
rain		Regen	Open World (2015) - Unit 5 - 01 Keywords
snow		Schnee	Open World (2015) - Unit 5 - 01 Keywords
storm		Sturm	Open World (2015) - Unit 5 - 01 Keywords
umbrella		Regenschirm	Open World (2015) - Unit 5 - 01 Keywords
weather		Wetter	Open World (2015) - Unit 5 - 01 Keywords
a bit		ein bisschen	Open World (2015) - Unit 5 - 02 Fair weather
actually		eigentlich	Open World (2015) - Unit 5 - 02 Fair weather
allergic		allergisch	Open World (2015) - Unit 5 - 02 Fair weather
amplifier		Verstärkungspartikel	Open World (2015) - Unit 5 - 02 Fair weather
Celsius		Celsius	Open World (2015) - Unit 5 - 02 Fair weather
cloudy		bewölkt	Open World (2015) - Unit 5 - 02 Fair weather
cool		kühl	Open World (2015) - Unit 5 - 02 Fair weather
degree		hierː Grad	Open World (2015) - Unit 5 - 02 Fair weather
downtoner		Abschwächungspartikel	Open World (2015) - Unit 5 - 02 Fair weather
dry		trocken	Open World (2015) - Unit 5 - 02 Fair weather
dynamics		Dynamik	Open World (2015) - Unit 5 - 02 Fair weather
Fahrenheit		Fahrenheit	Open World (2015) - Unit 5 - 02 Fair weather
fair		hierː schön	Open World (2015) - Unit 5 - 02 Fair weather
helpful		hilfreich	Open World (2015) - Unit 5 - 02 Fair weather
I don't mind		es macht mir nichts aus	Open World (2015) - Unit 5 - 02 Fair weather
icy		hierː eisig	Open World (2015) - Unit 5 - 02 Fair weather
imaginary		imaginär, eingebildet	Open World (2015) - Unit 5 - 02 Fair weather
Ireland		Irland	Open World (2015) - Unit 5 - 02 Fair weather
kind of		irgendwie, ziemlich	Open World (2015) - Unit 5 - 02 Fair weather
lucky		glücklich, Glück habend	Open World (2015) - Unit 5 - 02 Fair weather
make sure		sich vergewissern	Open World (2015) - Unit 5 - 02 Fair weather
Metromover		Metromover	Open World (2015) - Unit 5 - 02 Fair weather
mild		mild	Open World (2015) - Unit 5 - 02 Fair weather
of course		natürlich, selbstverständlich	Open World (2015) - Unit 5 - 02 Fair weather
postcard		Postkarte	Open World (2015) - Unit 5 - 02 Fair weather
radio		Radio	Open World (2015) - Unit 5 - 02 Fair weather
rainy		regnerisch	Open World (2015) - Unit 5 - 02 Fair weather
skyscraper		Wolkenkratzer	Open World (2015) - Unit 5 - 02 Fair weather
stormy		stürmisch	Open World (2015) - Unit 5 - 02 Fair weather
sunburn		Sonnenbrand	Open World (2015) - Unit 5 - 02 Fair weather
sunny		sonnig	Open World (2015) - Unit 5 - 02 Fair weather
warm		warm	Open World (2015) - Unit 5 - 02 Fair weather
weather forecast		Wettervorhersage	Open World (2015) - Unit 5 - 02 Fair weather
wet		nass	Open World (2015) - Unit 5 - 02 Fair weather
windy		windig	Open World (2015) - Unit 5 - 02 Fair weather
winter		Winter	Open World (2015) - Unit 5 - 02 Fair weather
wow		wow, toll	Open World (2015) - Unit 5 - 02 Fair weather
admiral		Admiral	Open World (2015) - Unit 5 - 03 Windy weather
air pressure		Luftdruck	Open World (2015) - Unit 5 - 03 Windy weather
arrange		arrangieren	Open World (2015) - Unit 5 - 03 Windy weather
diagram		Diagramm	Open World (2015) - Unit 5 - 03 Windy weather
earth		Erde	Open World (2015) - Unit 5 - 03 Windy weather
evaporate		hierː verdunsten	Open World (2015) - Unit 5 - 03 Windy weather
force		Kraft, Stärke, Wucht	Open World (2015) - Unit 5 - 03 Windy weather
heat		erhitzen, erwärmen	Open World (2015) - Unit 5 - 03 Windy weather
lightning		Blitz	Open World (2015) - Unit 5 - 03 Windy weather
originally		ursprünglich	Open World (2015) - Unit 5 - 03 Windy weather
puffy		hierː bauschig	Open World (2015) - Unit 5 - 03 Windy weather
Royal Navy		Königliche Marine	Open World (2015) - Unit 5 - 03 Windy weather
scale		hierː Skala	Open World (2015) - Unit 5 - 03 Windy weather
Sir		Sir (Anrede)	Open World (2015) - Unit 5 - 03 Windy weather
speed		Geschwindigkeit, Tempo	Open World (2015) - Unit 5 - 03 Windy weather
thunder		Donner	Open World (2015) - Unit 5 - 03 Windy weather
unevenly		hierː ungleichmässig	Open World (2015) - Unit 5 - 03 Windy weather
wind tunnel		Windkanal	Open World (2015) - Unit 5 - 03 Windy weather
windless		windstill	Open World (2015) - Unit 5 - 03 Windy weather
zero		null	Open World (2015) - Unit 5 - 03 Windy weather
